x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
-0.814804,0.289047,-0.304428,0.916586,20531.036803,2001-01-01 06:42:11.037 +0100
-0.871597,0.300934,-0.335846,0.981344,20531.007411,2001-01-01 06:42:11.007 +0100
-0.962433,0.392487,-0.359161,1.099691,20530.978009,2001-01-01 06:42:10.978 +0100
-1.045456,0.492218,-0.361008,1.210613,20530.948620,2001-01-01 06:42:10.949 +0100
-1.030914,0.487198,-0.353165,1.193680,20530.919227,2001-01-01 06:42:10.919 +0100
-0.991638,0.397949,-0.350098,1.124401,20530.889832,2001-01-01 06:42:10.890 +0100
-1.034012,0.302475,-0.340668,1.129923,20530.860438,2001-01-01 06:42:10.860 +0100
-0.986084,0.118713,-0.318100,1.042901,20530.831044,2001-01-01 06:42:10.831 +0100
-1.060211,0.059280,-0.276199,1.097200,20530.801650,2001-01-01 06:42:10.802 +0100
-1.326538,0.307922,-0.328232,1.400805,20530.772257,2001-01-01 06:42:10.772 +0100
-1.428055,0.444473,-0.387161,1.544924,20530.742864,2001-01-01 06:42:10.743 +0100
-1.266739,0.264587,-0.374695,1.347231,20530.713470,2001-01-01 06:42:10.713 +0100
-1.303528,0.294815,-0.372772,1.387465,20530.684075,2001-01-01 06:42:10.684 +0100
-1.250412,0.311630,-0.366379,1.339730,20530.654681,2001-01-01 06:42:10.655 +0100
-1.097794,0.234390,-0.326431,1.169037,20530.625289,2001-01-01 06:42:10.625 +0100
-0.974396,0.163864,-0.279480,1.026844,20530.595891,2001-01-01 06:42:10.596 +0100
-0.854980,0.116852,-0.268097,0.903616,20530.566501,2001-01-01 06:42:10.567 +0100
-0.797775,0.109100,-0.284821,0.854091,20530.537106,2001-01-01 06:42:10.537 +0100
-0.785324,0.152679,-0.299911,0.854396,20530.507712,2001-01-01 06:42:10.508 +0100
-0.800323,0.173813,-0.311264,0.876136,20530.478317,2001-01-01 06:42:10.478 +0100
-0.798477,0.174988,-0.300659,0.870966,20530.448923,2001-01-01 06:42:10.449 +0100
-0.823181,0.240265,-0.282578,0.902887,20530.419530,2001-01-01 06:42:10.420 +0100
-0.908600,0.369080,-0.302948,1.026426,20530.390132,2001-01-01 06:42:10.390 +0100
-1.062485,0.495270,-0.325684,1.216649,20530.360735,2001-01-01 06:42:10.361 +0100
-1.160736,0.495605,-0.309387,1.299482,20530.331341,2001-01-01 06:42:10.331 +0100
-1.083206,0.392944,-0.224091,1.173864,20530.301944,2001-01-01 06:42:10.302 +0100
-0.872452,0.268829,-0.128891,0.921984,20530.272551,2001-01-01 06:42:10.273 +0100
-0.613937,0.177765,-0.112701,0.649015,20530.243157,2001-01-01 06:42:10.243 +0100
-0.638245,0.204666,-0.180664,0.694179,20530.213757,2001-01-01 06:42:10.214 +0100
-1.245270,0.716797,-0.299332,1.467683,20530.184365,2001-01-01 06:42:10.184 +0100
-1.356644,0.812164,-0.342422,1.617821,20530.154967,2001-01-01 06:42:10.155 +0100
-1.047821,0.588028,-0.321457,1.243801,20530.125569,2001-01-01 06:42:10.126 +0100
-0.987671,0.553146,-0.260864,1.161686,20530.096174,2001-01-01 06:42:10.096 +0100
-0.919815,0.553009,-0.245392,1.100952,20530.066772,2001-01-01 06:42:10.067 +0100
-0.817673,0.466095,-0.256561,0.975529,20530.037372,2001-01-01 06:42:10.037 +0100
-0.735519,0.406708,-0.236572,0.873136,20530.007977,2001-01-01 06:42:10.008 +0100
-0.646561,0.320282,-0.198746,0.748412,20529.978579,2001-01-01 06:42:09.979 +0100
-0.605072,0.305328,-0.220490,0.712708,20529.949184,2001-01-01 06:42:09.949 +0100
-0.687744,0.327484,-0.257950,0.804224,20529.919789,2001-01-01 06:42:09.920 +0100
-0.699173,0.331833,-0.254105,0.814570,20529.890396,2001-01-01 06:42:09.890 +0100
